n_a,n_b,pair_count,pair_pct
17,19,1251,0.3393
17,20,1302,0.353133
17,21,1272,0.344996
17,22,1254,0.340114
17,23,1222,0.331435
17,24,1268,0.343911
17,25,1309,0.355031
18,19,1271,0.344725
18,20,1356,0.367779
18,21,1265,0.343097
18,22,1279,0.346894
18,23,1226,0.33252
18,24,1297,0.351777
18,25,1333,0.361541
19,20,1342,0.363982
19,21,1285,0.348522
19,22,1259,0.34147
19,23,1245,0.337673
19,24,1289,0.349607
19,25,1327,0.359913
20,21,1339,0.363168
20,22,1317,0.357201
20,23,1315,0.356659
20,24,1347,0.365338
20,25,1390,0.377
21,22,1276,0.346081
21,23,1224,0.331977
21,24,1288,0.349336
21,25,1313,0.356116
22,23,1238,0.335774
22,24,1318,0.357472
22,25,1330,0.360727
23,24,1281,0.347437
23,25,1315,0.356659
24,25,1361,0.369135
